year_start,q5_index,q1_index
2001,0.8000017733070353,1.0795912759792585
2002,0.9389554370043975,1.1482346164220045
2003,1.259484673722012,1.445226489707337
2004,1.3206366615279608,1.7247874481895342
2005,1.4500632392085444,2.049500896913006
2006,1.7592149924218972,2.413633047328016
2007,1.5689907482804748,2.2661423510968257
2008,1.2172639261978573,1.6321710131495062
2009,1.4365543737433917,1.9073703477240807
2010,1.967871015915642,2.485224297207394
2011,2.0189116924590857,2.6242757726816177
2012,2.631710111315559,3.3239871371653837
2013,3.5042847759582494,4.0445561420852005
2014,4.001739116671661,4.305375999358175
2015,4.298229226456555,4.635237297104231
2016,5.757604108834555,5.353133543822238
2017,7.214886639421923,5.949741978067714
2018,8.096028182196015,6.80879584324481
2019,9.725012060155343,6.305690869029868
2020,13.925662862563497,9.612139624046153
2021,11.781693072481985,9.139588020826235
2022,14.775441111016775,10.364041838234886
2023,18.36548333767852,11.468406367240537
2024,20.726307990870325,13.089980533858684
