year_start,return_period,q5_return,q1_return,hml_premium
2001,Jul2001-Jun2002,-20.86815464978375,5.600798896924651,-26.468953546708402
2002,Jul2002-Jun2003,16.31278072773371,3.171929825937516,13.140850901796197
2003,Jul2003-Jun2004,33.12973535981036,23.096374554986422,10.033360804823944
2004,Jul2004-Jun2005,3.6954422304363135,16.705947498423747,-13.010505267987435
2005,Jul2005-Jun2006,8.884450370251756,16.33744602052068,-7.452995650268922
2006,Jul2006-Jun2007,20.1568691705166,15.609466046917309,4.54740312359929
2007,Jul2007-Jun2008,-11.74317590971779,-13.676207081973901,1.9330311722561093
2008,Jul2008-Jun2009,-23.731870874647427,-30.310764986765626,6.578894112118196
2009,Jul2009-Jun2010,16.396436721091284,14.28335118197976,2.1130855391115233
2010,Jul2010-Jun2011,34.71917838125549,27.15793138210086,7.561246999154634
2011,Jul2011-Jun2012,-0.5451866345895869,3.0467102232401544,-3.591896857829741
2012,Jul2012-Jun2013,28.90673951430196,23.78967377845422,5.11706573584774
2013,Jul2013-Jun2014,31.270991065607372,19.03455533684804,12.236435728759332
2014,Jul2014-Jun2015,12.427111773547548,4.0617927645464995,8.365319009001047
2015,Jul2015-Jun2016,5.3344372810276885,5.140780432417164,0.19365684861052476
2016,Jul2016-Jun2017,31.56341719614127,13.110362708646086,18.453054487495184
2017,Jul2017-Jun2018,23.956823457984058,8.884201630479485,15.072621827504573
2018,Jul2018-Jun2019,10.838747143579157,11.83473173504842,-0.995984591469264
2019,Jul2019-Jun2020,17.782374231131946,-9.500763825378458,27.283138056510403
2020,Jul2020-Jun2021,41.65048393594148,49.14847292560357,-7.497988989662095
2021,Jul2021-Jun2022,-16.392939610697862,-6.721698919136528,-9.671240691561337
2022,Jul2022-Jun2023,24.226740636710012,11.198402478288303,13.02833815842171
2023,Jul2023-Jun2024,23.35758715672778,8.197818326898298,15.159768829829481
2024,Jul2024-Jun2025,11.959200070064044,11.894601997640406,0.06459807242363932
