year,portfolio_index,benchmark_index,sp500_index
2010,1.5888,1.374,1.2843
2011,1.75768944,1.4157696000000002,1.30523409
2012,2.718090950016,1.7925058905600002,1.533911102568
2013,3.9246515227281025,2.285265759874944,1.8604807763047269
2014,5.063192929471525,2.5393873123730377,1.9438303150831786
2015,5.672295038886951,2.6579766998608583,1.9622967030764689
2016,8.000772152350043,3.229707488000929,2.260369572273784
2017,10.838646034788603,3.7645470480138825,2.5316139209466386
2018,13.044310502868084,4.197469958535479,2.7285734839962874
2019,17.6111236099222,4.219716549315717,2.845902143808128
2020,22.549282670144382,6.302990609712888,3.9230761052395042
2021,18.003347283843276,5.679624838412283,3.4381838986319018
2022,24.17489473274475,6.670719372715227,3.9975764189393126
2023,33.47497673643166,7.726027177478775,4.902227962545279
